,hashtags,symbols,user_mentions,urls,media
32,[],[],[],"[{'url': 'https://t.co/q2QNlrRBEt', 'expanded_url': 'http://chicagofirefc.com/council', 'display_url': 'chicagofirefc.com/council', 'indices': [73, 96]}]","[{'id': 1356973282050899969, 'id_str': '1356973282050899969', 'indices': [97, 120], 'media_url': 'http://pbs.twimg.com/media/EtTwxPRXcAQydtU.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EtTwxPRXcAQydtU.jpg', 'url': 'https://t.co/ckWRlnBFAX', 'display_url': 'pic.twitter.com/ckWRlnBFAX', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1356988365304954882/video/1', 'type': 'photo', 'sizes': {'large': {'w': 720, 'h': 900, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 720, 'h': 900, 'resize': 'fit'}}}]"
33,[],[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [33, 43]}]",[],"[{'id': 1356789645376380931, 'id_str': '1356789645376380931', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1356789645376380931/pu/img/iiWN4GhemEJiv7By.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1356789645376380931/pu/img/iiWN4GhemEJiv7By.jpg', 'url': 'https://t.co/V2fcnFKCkJ', 'display_url': 'pic.twitter.com/V2fcnFKCkJ', 'expanded_url': 'https://twitter.com/KidM3mito/status/1356789917435777025/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 1280, 'h': 720, 'resize': 'fit'}}, 'source_status_id': 1356789917435777025, 'source_status_id_str': '1356789917435777025', 'source_user_id': 834100159323766784, 'source_user_id_str': '834100159323766784'}]"
34,"[{'text': 'CFFC', 'indices': [108, 113]}]",[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [3, 13]}]",[],"[{'id': 1356823862483312640, 'id_str': '1356823862483312640', 'indices': [114, 137], 'media_url': 'http://pbs.twimg.com/media/EtRoHToXYAAOPwI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EtRoHToXYAAOPwI.jpg', 'url': 'https://t.co/9lU60fQ9JY', 'display_url': 'pic.twitter.com/9lU60fQ9JY', 'expanded_url': 'https://twitter.com/KidM3mito/status/1356824208991547395/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 1920, 'h': 1080, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}, 'source_status_id': 1356824208991547395, 'source_status_id_str': '1356824208991547395', 'source_user_id': 834100159323766784, 'source_user_id_str': '834100159323766784'}]"
35,[],[],[],[],"[{'id': 1356760875210784777, 'id_str': '1356760875210784777', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1356760875210784777/pu/img/OCRaFuYtxg9odg2O.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1356760875210784777/pu/img/OCRaFuYtxg9odg2O.jpg', 'url': 'https://t.co/Sn1ibByk4S', 'display_url': 'pic.twitter.com/Sn1ibByk4S', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1356762525707214851/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'large': {'w': 640, 'h': 800, 'resize': 'fit'}, 'medium': {'w': 640, 'h': 800, 'resize': 'fit'}}}]"
36,[],[],[],[],
37,[],[],"[{'screen_name': 'chicagonisa', 'name': '@ChicagoNISA', 'id': 1304080876582699010, 'id_str': '1304080876582699010', 'indices': [0, 12]}]",[],
38,[],[],[],[],
39,[],[],"[{'screen_name': 'ESPNFC', 'name': 'ESPN FC', 'id': 18091004, 'id_str': '18091004', 'indices': [0, 7]}]",[],"[{'id': 1356668875644022787, 'id_str': '1356668875644022787', 'indices': [8, 31], 'media_url': 'http://pbs.twimg.com/media/EtPbJ4qXMAMOzkq.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EtPbJ4qXMAMOzkq.jpg', 'url': 'https://t.co/J9KE1zMLVO', 'display_url': 'pic.twitter.com/J9KE1zMLVO', 'expanded_url': 'https://twitter.com/ChicagoFire/status/1356669388519276546/photo/1', 'type': 'photo', 'sizes': {'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]"
40,[],[],"[{'screen_name': 'KidM3mito', 'name': 'Memo', 'id': 834100159323766784, 'id_str': '834100159323766784', 'indices': [14, 24]}, {'screen_name': 'eMLS', 'name': '🎮 Major League Soccer', 'id': 922506058865704960, 'id_str': '922506058865704960', 'indices': [32, 37]}]",[],
41,"[{'text': 'BlackHistoryMonth', 'indices': [9, 27]}]",[],[],[],
